id,type,lat,lon,install_date,last_maintenance,status,usage_level,region,depth_m,capacity_kw
ASSET-0001,borehole,9.83101,29.897837,2008-02-18,2010-07-06,degraded,high,Nairobi,31,
ASSET-0002,solar_system,-4.404056,29.372759,2016-05-02,2023-03-02,operational,low,Kampala,,33.02
ASSET-0003,solar_system,3.984181,30.563814,2005-02-23,2022-04-01,critical,medium,Harare,,18.0
ASSET-0004,borehole,14.144261,31.731891,2007-01-30,2015-09-07,operational,high,Lusaka,97,
ASSET-0005,solar_system,9.594636,35.724562,2013-06-28,2014-06-15,degraded,high,Kampala,,31.5
ASSET-0006,solar_system,-1.154228,26.391103,2019-11-01,2021-03-11,critical,high,Kisumu,,42.98
ASSET-0007,borehole,0.559472,37.713689,2013-03-08,2015-02-02,operational,low,Djibouti City,54,
ASSET-0008,borehole,7.699566,35.682798,2010-06-29,2014-03-28,operational,low,Mombasa,101,
ASSET-0009,borehole,11.857038,40.519998,2010-02-20,2010-12-09,critical,medium,Bujumbura,28,
ASSET-0010,borehole,12.527353,31.293558,2019-09-14,2022-08-01,operational,high,Kisumu,78,
ASSET-0011,borehole,-2.207394,39.89978,2017-02-02,2020-02-13,degraded,medium,Lilongwe,94,
ASSET-0012,solar_system,-0.613585,44.950752,2016-06-06,2022-01-17,operational,low,Asmara,,6.82
ASSET-0013,borehole,6.928181,32.695346,2018-05-14,2021-01-26,degraded,high,Mogadishu,21,
ASSET-0014,borehole,10.017556,40.371975,2012-08-18,2015-03-19,operational,low,Mwanza,20,
ASSET-0015,solar_system,10.239244,35.153633,2007-05-22,2021-06-29,operational,medium,Entebbe,,31.04
ASSET-0016,borehole,10.250216,35.787581,2022-06-19,2022-07-19,degraded,medium,Asmara,34,
ASSET-0017,solar_system,-0.210954,29.817432,2017-09-22,2018-09-09,operational,medium,Maputo,,4.86
ASSET-0018,borehole,8.195016,43.936974,2008-09-14,2014-09-24,degraded,medium,Addis Ababa,47,
ASSET-0019,borehole,2.979846,38.433739,2013-05-18,2018-05-16,critical,medium,Maputo,51,
ASSET-0020,borehole,1.761711,36.766174,2010-03-01,2023-06-11,operational,low,Dar es Salaam,100,
ASSET-0021,borehole,-3.651993,25.628259,2012-05-30,2014-01-30,degraded,low,Harare,82,
ASSET-0022,borehole,-2.353763,43.710285,2017-10-22,2023-03-11,operational,medium,Mwanza,72,
ASSET-0023,borehole,-3.061384,33.621024,2014-07-02,2019-03-11,operational,medium,Kigali,106,
ASSET-0024,borehole,3.052426,31.786052,2007-06-15,2013-02-09,operational,medium,Kampala,37,
ASSET-0025,solar_system,0.570903,29.996129,2006-09-10,2016-09-17,critical,high,Juba,,6.25
ASSET-0026,borehole,13.52734,41.973915,2008-09-24,2017-12-05,operational,low,Dar es Salaam,71,
ASSET-0027,borehole,2.579462,44.706177,2010-12-13,2021-03-27,operational,medium,Juba,113,
ASSET-0028,solar_system,-1.202043,29.354018,2006-04-25,2019-05-21,degraded,low,Addis Ababa,,16.71
ASSET-0029,borehole,4.53577,43.387743,2016-11-29,2018-10-04,operational,medium,Kisumu,43,
ASSET-0030,borehole,-3.640783,42.236384,2014-01-21,2015-06-26,offline,medium,Mombasa,94,
ASSET-0031,borehole,-3.360332,38.147463,2017-09-05,2023-08-16,operational,low,Mombasa,105,
